N,F,f,m,r,pfail
2000,1/4,1/2,666,41,0.063
2000,1/4,1/2,1000,41,0.048
2000,1/4,1/2,2000,41,0.073
2000,1/4,1/2,4000,41,0.065
2000,1/4,1/2,6000,41,0.074
2000,1/4,1/2,8000,41,0.064
2000,1/4,1/2,500,41,0.038
2000,1/4,1/2,666,41,0.044
2000,1/4,1/2,1000,41,0.057
2000,1/4,1/2,2000,41,0.057
2000,1/4,1/2,4000,41,0.059
2000,1/4,1/2,6000,41,0.068
2000,1/4,1/2,8000,41,0.063
2000,1/4,1/2,500,41,0.041
2000,1/4,1/2,666,41,0.059
2000,1/4,1/2,1000,41,0.046
2000,1/4,1/2,2000,41,0.069
2000,1/4,1/2,4000,41,0.07
2000,1/4,1/2,6000,41,0.063
2000,1/4,1/2,8000,41,0.072
2000,1/4,1/2,500,41,0.051
2000,1/4,1/2,666,41,0.051
2000,1/4,1/2,1000,41,0.06
2000,1/4,1/2,2000,41,0.075
2000,1/4,1/2,4000,41,0.055
2000,1/4,1/2,6000,41,0.069
2000,1/4,1/2,8000,41,0.07
2000,1/4,1/2,500,41,0.042
2000,1/4,1/2,666,41,0.039
2000,1/4,1/2,1000,41,0.056
2000,1/4,1/2,2000,41,0.065
2000,1/4,1/2,4000,41,0.062
2000,1/4,1/2,6000,41,0.075
2000,1/4,1/2,8000,41,0.074
2000,1/4,1/2,500,41,0.04
2000,1/4,1/2,666,41,0.045
2000,1/4,1/2,1000,41,0.051
2000,1/4,1/2,2000,41,0.073
2000,1/4,1/2,4000,41,0.066
2000,1/4,1/2,6000,41,0.087
2000,1/4,1/2,8000,41,0.056
2000,1/4,1/2,500,41,0.058
2000,1/4,1/2,666,41,0.047
2000,1/4,1/2,1000,41,0.038
2000,1/4,1/2,2000,41,0.046
2000,1/4,1/2,4000,41,0.06
2000,1/4,1/2,6000,41,0.066
2000,1/4,1/2,8000,41,0.065
2000,1/4,1/2,500,41,0.04
2000,1/4,1/2,666,41,0.043
2000,1/4,1/2,1000,41,0.049
2000,1/4,1/2,2000,41,0.048
2000,1/4,1/2,4000,41,0.07
2000,1/4,1/2,6000,41,0.066
2000,1/4,1/2,8000,41,0.064
2000,1/4,1/2,500,41,0.04
2000,1/4,1/2,666,41,0.046
2000,1/4,1/2,1000,41,0.049
2000,1/4,1/2,2000,41,0.063
2000,1/4,1/2,4000,41,0.076
2000,1/4,1/2,6000,41,0.066
2000,1/4,1/2,8000,41,0.067
2000,1/4,1/2,500,41,0.043
2000,1/4,1/2,666,41,0.043
2000,1/4,1/2,1000,41,0.051
2000,1/4,1/2,2000,41,0.054
2000,1/4,1/2,4000,41,0.052
2000,1/4,1/2,6000,41,0.066
2000,1/4,1/2,8000,41,0.062
2000,1/4,1/2,500,41,0.039
2000,1/4,1/2,666,41,0.038
2000,1/4,1/2,1000,41,0.055
2000,1/4,1/2,2000,41,0.064
2000,1/4,1/2,4000,41,0.061
2000,1/4,1/2,6000,41,0.064
2000,1/4,1/2,8000,41,0.082
2000,1/4,1/2,500,41,0.039
2000,1/4,1/2,666,41,0.048
2000,1/4,1/2,1000,41,0.045
2000,1/4,1/2,2000,41,0.056
2000,1/4,1/2,4000,41,0.069
2000,1/4,1/2,6000,41,0.055
2000,1/4,1/2,8000,41,0.086
2000,1/4,1/2,500,41,0.049
2000,1/4,1/2,666,41,0.049
2000,1/4,1/2,1000,41,0.068
2000,1/4,1/2,2000,41,0.062
2000,1/4,1/2,4000,41,0.065
2000,1/4,1/2,6000,41,0.076
2000,1/4,1/2,8000,41,0.071
2000,1/4,1/2,500,41,0.042
2000,1/4,1/2,666,41,0.04
2000,1/4,1/2,1000,41,0.058
2000,1/4,1/2,2000,41,0.052
2000,1/4,1/2,4000,41,0.064
2000,1/4,1/2,6000,41,0.076
2000,1/4,1/2,8000,41,0.092
2000,1/4,1/2,500,41,0.038
2000,1/4,1/2,666,41,0.036
2000,1/4,1/2,1000,41,0.049
2000,1/4,1/2,2000,41,0.071
2000,1/4,1/2,4000,41,0.062
2000,1/4,1/2,6000,41,0.064
2000,1/4,1/2,8000,41,0.077
2000,1/4,1/2,500,41,0.038
2000,1/4,1/2,666,41,0.05
2000,1/4,1/2,1000,41,0.042
2000,1/4,1/2,2000,41,0.062
2000,1/4,1/2,4000,41,0.067
2000,1/4,1/2,6000,41,0.084
2000,1/4,1/2,8000,41,0.067
2000,1/4,1/2,500,41,0.04
2000,1/4,1/2,666,41,0.038
2000,1/4,1/2,1000,41,0.052
2000,1/4,1/2,2000,41,0.062
2000,1/4,1/2,4000,41,0.059
2000,1/4,1/2,6000,41,0.069
2000,1/4,1/2,8000,41,0.075
2000,1/4,1/2,500,41,0.047
2000,1/4,1/2,666,41,0.042
2000,1/4,1/2,1000,41,0.053
2000,1/4,1/2,2000,41,0.067
2000,1/4,1/2,4000,41,0.062
2000,1/4,1/2,6000,41,0.059
2000,1/4,1/2,8000,41,0.066
2000,1/4,1/2,500,41,0.052
2000,1/4,1/2,666,41,0.043
2000,1/4,1/2,1000,41,0.053
2000,1/4,1/2,2000,41,0.082
2000,1/4,1/2,4000,41,0.058
2000,1/4,1/2,6000,41,0.068
2000,1/4,1/2,8000,41,0.081
2000,1/4,1/2,500,41,0.044
2000,1/4,1/2,666,41,0.048
2000,1/4,1/2,1000,41,0.056
2000,1/4,1/2,2000,41,0.065
2000,1/4,1/2,4000,41,0.052
2000,1/4,1/2,6000,41,0.061
2000,1/4,1/2,8000,41,0.086
2000,1/4,1/2,500,41,0.032
2000,1/4,1/2,666,41,0.049
2000,1/4,1/2,1000,41,0.052
2000,1/4,1/2,2000,41,0.063
2000,1/4,1/2,4000,41,0.056
2000,1/4,1/2,6000,41,0.07
2000,1/4,1/2,8000,41,0.081
2000,1/4,1/2,500,41,0.041
2000,1/4,1/2,666,41,0.042
2000,1/4,1/2,1000,41,0.056
2000,1/4,1/2,2000,41,0.057
2000,1/4,1/2,4000,41,0.057
2000,1/4,1/2,6000,41,0.085
2000,1/4,1/2,8000,41,0.072
2000,1/4,1/2,500,41,0.039
2000,1/4,1/2,666,41,0.044
2000,1/4,1/2,1000,41,0.048
2000,1/4,1/2,2000,41,0.061
2000,1/4,1/2,4000,41,0.064
2000,1/4,1/2,6000,41,0.066
2000,1/4,1/2,8000,41,0.071
2000,1/4,1/2,500,41,0.037
2000,1/4,1/2,666,41,0.057
2000,1/4,1/2,1000,41,0.058
2000,1/4,1/2,2000,41,0.057
2000,1/4,1/2,4000,41,0.064
2000,1/4,1/2,6000,41,0.072
2000,1/4,1/2,8000,41,0.083
2000,1/4,1/2,500,41,0.044
2000,1/4,1/2,666,41,0.041
2000,1/4,1/2,1000,41,0.047
2000,1/4,1/2,2000,41,0.058
2000,1/4,1/2,4000,41,0.064
2000,1/4,1/2,6000,41,0.091
2000,1/4,1/2,8000,41,0.067
2000,1/4,1/2,500,41,0.044
2000,1/4,1/2,666,41,0.031
2000,1/4,1/2,1000,41,0.047
2000,1/4,1/2,2000,41,0.064
2000,1/4,1/2,4000,41,0.07
2000,1/4,1/2,6000,41,0.066
2000,1/4,1/2,8000,41,0.077
2000,1/4,1/2,500,41,0.04
2000,1/4,1/2,666,41,0.052
2000,1/4,1/2,1000,41,0.05
2000,1/4,1/2,2000,41,0.05
2000,1/4,1/2,4000,41,0.062
2000,1/4,1/2,6000,41,0.067
2000,1/4,1/2,8000,41,0.074
2000,1/4,1/2,500,41,0.049
2000,1/4,1/2,666,41,0.048
2000,1/4,1/2,1000,41,0.042
2000,1/4,1/2,2000,41,0.071
2000,1/4,1/2,4000,41,0.082
2000,1/4,1/2,6000,41,0.07
2000,1/4,1/2,8000,41,0.073
2000,1/4,1/2,500,41,0.038
2000,1/4,1/2,666,41,0.042
2000,1/4,1/2,1000,41,0.056
2000,1/4,1/2,2000,41,0.052
2000,1/4,1/2,4000,41,0.068
2000,1/4,1/2,6000,41,0.086
2000,1/4,1/2,8000,41,0.068
2000,1/4,1/2,500,41,0.046
2000,1/4,1/2,666,41,0.036
2000,1/4,1/2,1000,41,0.057
2000,1/4,1/2,2000,41,0.072
2000,1/4,1/2,4000,41,0.058
2000,1/4,1/2,6000,41,0.061
2000,1/4,1/2,8000,41,0.065
2000,1/4,1/2,500,41,0.041
2000,1/4,1/2,666,41,0.058
2000,1/4,1/2,1000,41,0.047
2000,1/4,1/2,2000,41,0.053
2000,1/4,1/2,4000,41,0.068
2000,1/4,1/2,6000,41,0.066
2000,1/4,1/2,8000,41,0.063
2000,1/4,1/2,500,41,0.046
2000,1/4,1/2,666,41,0.04
2000,1/4,1/2,1000,41,0.046
2000,1/4,1/2,2000,41,0.059
2000,1/4,1/2,4000,41,0.071
2000,1/4,1/2,6000,41,0.076
2000,1/4,1/2,8000,41,0.078
2000,1/4,1/2,500,41,0.042
2000,1/4,1/2,666,41,0.06
2000,1/4,1/2,1000,41,0.049
2000,1/4,1/2,2000,41,0.069
2000,1/4,1/2,4000,41,0.068
2000,1/4,1/2,6000,41,0.062
2000,1/4,1/2,8000,41,0.064
2000,1/4,1/2,500,41,0.033
2000,1/4,1/2,666,41,0.044
2000,1/4,1/2,1000,41,0.046
2000,1/4,1/2,2000,41,0.048
2000,1/4,1/2,4000,41,0.07
2000,1/4,1/2,6000,41,0.066
2000,1/4,1/2,8000,41,0.071
2000,1/4,1/2,500,41,0.046
2000,1/4,1/2,666,41,0.047
2000,1/4,1/2,1000,41,0.059
2000,1/4,1/2,2000,41,0.042
2000,1/4,1/2,4000,41,0.06
2000,1/4,1/2,6000,41,0.063
2000,1/4,1/2,8000,41,0.066
2000,1/4,1/2,500,41,0.046
2000,1/4,1/2,666,41,0.053
2000,1/4,1/2,1000,41,0.048
2000,1/4,1/2,2000,41,0.05
2000,1/4,1/2,4000,41,0.069
2000,1/4,1/2,6000,41,0.068
2000,1/4,1/2,8000,41,0.073
2000,1/4,1/2,500,41,0.04
2000,1/4,1/2,666,41,0.044
2000,1/4,1/2,1000,41,0.044
2000,1/4,1/2,2000,41,0.068
2000,1/4,1/2,4000,41,0.067
2000,1/4,1/2,6000,41,0.07
2000,1/4,1/2,8000,41,0.064
2000,1/4,1/2,500,41,0.053
2000,1/4,1/2,666,41,0.053
2000,1/4,1/2,1000,41,0.045
2000,1/4,1/2,2000,41,0.057
2000,1/4,1/2,4000,41,0.061
2000,1/4,1/2,6000,41,0.064
2000,1/4,1/2,8000,41,0.064
2000,1/4,1/2,500,41,0.047
2000,1/4,1/2,666,41,0.048
2000,1/4,1/2,1000,41,0.047
2000,1/4,1/2,2000,41,0.052
2000,1/4,1/2,4000,41,0.061
2000,1/4,1/2,6000,41,0.063
2000,1/4,1/2,8000,41,0.082
2000,1/4,1/2,500,41,0.043
2000,1/4,1/2,666,41,0.054
2000,1/4,1/2,1000,41,0.055
2000,1/4,1/2,2000,41,0.06
2000,1/4,1/2,4000,41,0.072
2000,1/4,1/2,6000,41,0.071
2000,1/4,1/2,8000,41,0.077
2000,1/4,1/2,500,41,0.046
2000,1/4,1/2,666,41,0.048
2000,1/4,1/2,1000,41,0.057
2000,1/4,1/2,2000,41,0.063
2000,1/4,1/2,4000,41,0.072
2000,1/4,1/2,6000,41,0.056
2000,1/4,1/2,8000,41,0.067
2000,1/4,1/2,500,41,0.045
2000,1/4,1/2,666,41,0.051
2000,1/4,1/2,1000,41,0.059
2000,1/4,1/2,2000,41,0.064
2000,1/4,1/2,4000,41,0.08
2000,1/4,1/2,6000,41,0.072
2000,1/4,1/2,8000,41,0.079
2000,1/4,1/2,500,41,0.037
2000,1/4,1/2,666,41,0.047
2000,1/4,1/2,1000,41,0.05
2000,1/4,1/2,2000,41,0.054
2000,1/4,1/2,4000,41,0.062
2000,1/4,1/2,6000,41,0.052
2000,1/4,1/2,8000,41,0.072
2000,1/4,1/2,500,41,0.044
2000,1/4,1/2,666,41,0.044
2000,1/4,1/2,1000,41,0.049
2000,1/4,1/2,2000,41,0.062
2000,1/4,1/2,4000,41,0.059
2000,1/4,1/2,6000,41,0.073
2000,1/4,1/2,8000,41,0.072
2000,1/4,1/2,500,41,0.037
2000,1/4,1/2,666,41,0.042
2000,1/4,1/2,1000,41,0.054
2000,1/4,1/2,2000,41,0.051
2000,1/4,1/2,4000,41,0.075
2000,1/4,1/2,6000,41,0.063
2000,1/4,1/2,8000,41,0.054
2000,1/4,1/2,500,41,0.038
2000,1/4,1/2,666,41,0.049
2000,1/4,1/2,1000,41,0.046
2000,1/4,1/2,2000,41,0.062
2000,1/4,1/2,4000,41,0.068
2000,1/4,1/2,6000,41,0.071
2000,1/4,1/2,8000,41,0.067
2000,1/4,1/2,500,41,0.034
2000,1/4,1/2,666,41,0.051
2000,1/4,1/2,1000,41,0.062
2000,1/4,1/2,2000,41,0.069
2000,1/4,1/2,4000,41,0.067
2000,1/4,1/2,6000,41,0.071
2000,1/4,1/2,8000,41,0.061
2000,1/4,1/2,500,41,0.025
2000,1/4,1/2,666,41,0.047
2000,1/4,1/2,1000,41,0.048
2000,1/4,1/2,2000,41,0.068
2000,1/4,1/2,4000,41,0.065
2000,1/4,1/2,6000,41,0.05
2000,1/4,1/2,8000,41,0.062
2000,1/4,1/2,500,41,0.054
2000,1/4,1/2,666,41,0.035
2000,1/4,1/2,1000,41,0.064
2000,1/4,1/2,2000,41,0.057
2000,1/4,1/2,4000,41,0.071
2000,1/4,1/2,6000,41,0.073
2000,1/4,1/2,8000,41,0.076
2000,1/4,1/2,500,41,0.033
2000,1/4,1/2,666,41,0.048
2000,1/4,1/2,1000,41,0.054
2000,1/4,1/2,2000,41,0.049
2000,1/4,1/2,4000,41,0.071
2000,1/4,1/2,6000,41,0.067
2000,1/4,1/2,8000,41,0.061
2000,1/4,1/2,500,41,0.038
2000,1/4,1/2,666,41,0.053
2000,1/4,1/2,1000,41,0.066
2000,1/4,1/2,2000,41,0.056
2000,1/4,1/2,4000,41,0.058
2000,1/4,1/2,6000,41,0.06
2000,1/4,1/2,8000,41,0.071
2000,1/4,1/2,500,41,0.036
2000,1/4,1/2,666,41,0.047
2000,1/4,1/2,1000,41,0.053
2000,1/4,1/2,2000,41,0.063
2000,1/4,1/2,4000,41,0.077
2000,1/4,1/2,6000,41,0.072
2000,1/4,1/2,8000,41,0.066
2000,1/4,1/2,500,41,0.043
2000,1/4,1/2,666,41,0.041
2000,1/4,1/2,1000,41,0.047
2000,1/4,1/2,2000,41,0.056
2000,1/4,1/2,4000,41,0.066
2000,1/4,1/2,6000,41,0.074
2000,1/4,1/2,8000,41,0.066
2000,1/4,1/2,500,41,0.036
2000,1/4,1/2,666,41,0.051
2000,1/4,1/2,1000,41,0.064
2000,1/4,1/2,2000,41,0.065
2000,1/4,1/2,4000,41,0.074
2000,1/4,1/2,6000,41,0.066
2000,1/4,1/2,8000,41,0.088
2000,1/4,1/2,500,41,0.047
2000,1/4,1/2,666,41,0.043
2000,1/4,1/2,1000,41,0.058
2000,1/4,1/2,2000,41,0.078
2000,1/4,1/2,4000,41,0.066
2000,1/4,1/2,6000,41,0.069
2000,1/4,1/2,8000,41,0.076
2000,1/4,1/2,500,41,0.042
2000,1/4,1/2,666,41,0.051
2000,1/4,1/2,1000,41,0.047
2000,1/4,1/2,2000,41,0.061
2000,1/4,1/2,4000,41,0.068
2000,1/4,1/2,6000,41,0.078
2000,1/4,1/2,8000,41,0.069
2000,1/4,1/2,500,41,0.052
2000,1/4,1/2,666,41,0.045
2000,1/4,1/2,1000,41,0.05
2000,1/4,1/2,2000,41,0.043
2000,1/4,1/2,4000,41,0.062
2000,1/4,1/2,6000,41,0.07
2000,1/4,1/2,8000,41,0.068
2000,1/4,1/2,500,41,0.043
2000,1/4,1/2,666,41,0.051
2000,1/4,1/2,1000,41,0.056
2000,1/4,1/2,2000,41,0.062
2000,1/4,1/2,4000,41,0.062
2000,1/4,1/2,6000,41,0.074
2000,1/4,1/2,8000,41,0.054
2000,1/4,1/2,500,41,0.039
2000,1/4,1/2,666,41,0.058
2000,1/4,1/2,1000,41,0.068
2000,1/4,1/2,2000,41,0.065
2000,1/4,1/2,4000,41,0.077
2000,1/4,1/2,6000,41,0.082
2000,1/4,1/2,8000,41,0.078
2000,1/4,1/2,500,41,0.039
2000,1/4,1/2,666,41,0.038
2000,1/4,1/2,1000,41,0.066
2000,1/4,1/2,2000,41,0.054
2000,1/4,1/2,4000,41,0.051
2000,1/4,1/2,6000,41,0.069
2000,1/4,1/2,8000,41,0.066
2000,1/4,1/2,500,41,0.038
2000,1/4,1/2,666,41,0.04
2000,1/4,1/2,1000,41,0.047
2000,1/4,1/2,2000,41,0.064
2000,1/4,1/2,4000,41,0.069
2000,1/4,1/2,6000,41,0.063
2000,1/4,1/2,8000,41,0.075
2000,1/4,1/2,500,41,0.045
2000,1/4,1/2,666,41,0.05
2000,1/4,1/2,1000,41,0.049
2000,1/4,1/2,2000,41,0.083
2000,1/4,1/2,4000,41,0.066
2000,1/4,1/2,6000,41,0.078
2000,1/4,1/2,8000,41,0.079
2000,1/4,1/2,500,41,0.042
2000,1/4,1/2,666,41,0.041
2000,1/4,1/2,1000,41,0.053
2000,1/4,1/2,2000,41,0.056
2000,1/4,1/2,4000,41,0.059
2000,1/4,1/2,6000,41,0.064
2000,1/4,1/2,8000,41,0.071
2000,1/4,1/2,500,41,0.046
2000,1/4,1/2,666,41,0.04
2000,1/4,1/2,1000,41,0.06
2000,1/4,1/2,2000,41,0.069
2000,1/4,1/2,4000,41,0.066
2000,1/4,1/2,6000,41,0.064
2000,1/4,1/2,8000,41,0.073
2000,1/4,1/2,500,41,0.045
2000,1/4,1/2,666,41,0.051
2000,1/4,1/2,1000,41,0.049
2000,1/4,1/2,2000,41,0.052
2000,1/4,1/2,4000,41,0.065
2000,1/4,1/2,6000,41,0.071
2000,1/4,1/2,8000,41,0.062
2000,1/4,1/2,500,41,0.046
2000,1/4,1/2,666,41,0.039
2000,1/4,1/2,1000,41,0.056
2000,1/4,1/2,2000,41,0.065
2000,1/4,1/2,4000,41,0.052
2000,1/4,1/2,6000,41,0.055
2000,1/4,1/2,8000,41,0.059
2000,1/4,1/2,500,41,0.036
2000,1/4,1/2,666,41,0.044
2000,1/4,1/2,1000,41,0.043
2000,1/4,1/2,2000,41,0.06
2000,1/4,1/2,4000,41,0.06
2000,1/4,1/2,6000,41,0.069
2000,1/4,1/2,8000,41,0.063
2000,1/4,1/2,500,41,0.044
2000,1/4,1/2,666,41,0.052
2000,1/4,1/2,1000,41,0.054
2000,1/4,1/2,2000,41,0.058
2000,1/4,1/2,4000,41,0.065
2000,1/4,1/2,6000,41,0.063
2000,1/4,1/2,8000,41,0.063
2000,1/4,1/2,500,41,0.036
2000,1/4,1/2,666,41,0.052
2000,1/4,1/2,1000,41,0.052
2000,1/4,1/2,2000,41,0.051
2000,1/4,1/2,4000,41,0.071
2000,1/4,1/2,6000,41,0.05
2000,1/4,1/2,8000,41,0.083
2000,1/4,1/2,500,41,0.044
2000,1/4,1/2,666,41,0.039
2000,1/4,1/2,1000,41,0.053
2000,1/4,1/2,2000,41,0.064
2000,1/4,1/2,4000,41,0.067
2000,1/4,1/2,6000,41,0.059
2000,1/4,1/2,8000,41,0.075
2000,1/4,1/2,500,41,0.036
2000,1/4,1/2,666,41,0.057
2000,1/4,1/2,1000,41,0.061
2000,1/4,1/2,2000,41,0.061
2000,1/4,1/2,4000,41,0.068
2000,1/4,1/2,6000,41,0.071
2000,1/4,1/2,8000,41,0.069
2000,1/4,1/2,500,41,0.038
2000,1/4,1/2,666,41,0.04
2000,1/4,1/2,1000,41,0.061
2000,1/4,1/2,2000,41,0.058
2000,1/4,1/2,4000,41,0.061
2000,1/4,1/2,6000,41,0.056
2000,1/4,1/2,8000,41,0.061
2000,1/4,1/2,500,41,0.048
2000,1/4,1/2,666,41,0.045
2000,1/4,1/2,1000,41,0.047
2000,1/4,1/2,2000,41,0.053
2000,1/4,1/2,4000,41,0.072
2000,1/4,1/2,6000,41,0.085
2000,1/4,1/2,8000,41,0.083
2000,1/4,1/2,500,41,0.044
2000,1/4,1/2,666,41,0.063
2000,1/4,1/2,1000,41,0.047
2000,1/4,1/2,2000,41,0.058
2000,1/4,1/2,4000,41,0.065
2000,1/4,1/2,6000,41,0.066
2000,1/4,1/2,8000,41,0.058
2000,1/4,1/2,500,41,0.043
2000,1/4,1/2,666,41,0.05
2000,1/4,1/2,1000,41,0.065
2000,1/4,1/2,2000,41,0.061
2000,1/4,1/2,4000,41,0.069
2000,1/4,1/2,6000,41,0.076
2000,1/4,1/2,8000,41,0.056
2000,1/4,1/2,500,41,0.049
2000,1/4,1/2,666,41,0.035
2000,1/4,1/2,1000,41,0.05
2000,1/4,1/2,2000,41,0.059
2000,1/4,1/2,4000,41,0.061
2000,1/4,1/2,6000,41,0.055
2000,1/4,1/2,8000,41,0.067
2000,1/4,1/2,500,41,0.039
2000,1/4,1/2,666,41,0.046
2000,1/4,1/2,1000,41,0.057
2000,1/4,1/2,2000,41,0.064
2000,1/4,1/2,4000,41,0.05
2000,1/4,1/2,6000,41,0.059
2000,1/4,1/2,8000,41,0.07
2000,1/4,1/2,500,41,0.046
2000,1/4,1/2,666,41,0.043
2000,1/4,1/2,1000,41,0.055
2000,1/4,1/2,2000,41,0.072
2000,1/4,1/2,4000,41,0.064
2000,1/4,1/2,6000,41,0.075
2000,1/4,1/2,8000,41,0.063
2000,1/4,1/2,500,41,0.054
2000,1/4,1/2,666,41,0.053
2000,1/4,1/2,1000,41,0.045
2000,1/4,1/2,2000,41,0.052
2000,1/4,1/2,4000,41,0.063
2000,1/4,1/2,6000,41,0.071
2000,1/4,1/2,8000,41,0.076
2000,1/4,1/2,500,41,0.047
2000,1/4,1/2,666,41,0.054
2000,1/4,1/2,1000,41,0.051
2000,1/4,1/2,2000,41,0.054
2000,1/4,1/2,4000,41,0.063
2000,1/4,1/2,6000,41,0.067
2000,1/4,1/2,8000,41,0.073
2000,1/4,1/2,500,41,0.041
2000,1/4,1/2,666,41,0.049
2000,1/4,1/2,1000,41,0.047
2000,1/4,1/2,2000,41,0.063
2000,1/4,1/2,4000,41,0.058
2000,1/4,1/2,6000,41,0.058
2000,1/4,1/2,8000,41,0.079
2000,1/4,1/2,500,41,0.048
2000,1/4,1/2,666,41,0.053
2000,1/4,1/2,1000,41,0.043
2000,1/4,1/2,2000,41,0.069
2000,1/4,1/2,4000,41,0.072
2000,1/4,1/2,6000,41,0.069
2000,1/4,1/2,8000,41,0.064
2000,1/4,1/2,500,41,0.045
2000,1/4,1/2,666,41,0.042
2000,1/4,1/2,1000,41,0.048
2000,1/4,1/2,2000,41,0.061
2000,1/4,1/2,4000,41,0.075
2000,1/4,1/2,6000,41,0.074
2000,1/4,1/2,8000,41,0.083
2000,1/4,1/2,500,41,0.036
2000,1/4,1/2,666,41,0.043
2000,1/4,1/2,1000,41,0.061
2000,1/4,1/2,2000,41,0.06
2000,1/4,1/2,4000,41,0.075
2000,1/4,1/2,6000,41,0.073
2000,1/4,1/2,8000,41,0.067
2000,1/4,1/2,500,41,0.041
2000,1/4,1/2,666,41,0.048
2000,1/4,1/2,1000,41,0.048
2000,1/4,1/2,2000,41,0.073
2000,1/4,1/2,4000,41,0.078
2000,1/4,1/2,6000,41,0.074
2000,1/4,1/2,8000,41,0.066
2000,1/4,1/2,500,41,0.034
2000,1/4,1/2,666,41,0.059
2000,1/4,1/2,1000,41,0.042
2000,1/4,1/2,2000,41,0.079
2000,1/4,1/2,4000,41,0.071
2000,1/4,1/2,6000,41,0.072
2000,1/4,1/2,8000,41,0.059
2000,1/4,1/2,500,41,0.034
2000,1/4,1/2,666,41,0.051
2000,1/4,1/2,1000,41,0.059
2000,1/4,1/2,2000,41,0.056
2000,1/4,1/2,4000,41,0.067
2000,1/4,1/2,6000,41,0.071
2000,1/4,1/2,8000,41,0.068
2000,1/4,1/2,500,41,0.034
2000,1/4,1/2,666,41,0.058
2000,1/4,1/2,1000,41,0.05
2000,1/4,1/2,2000,41,0.072
2000,1/4,1/2,4000,41,0.053
2000,1/4,1/2,6000,41,0.072
2000,1/4,1/2,8000,41,0.071
2000,1/4,1/2,500,41,0.034
2000,1/4,1/2,666,41,0.042
2000,1/4,1/2,1000,41,0.051
2000,1/4,1/2,2000,41,0.053
2000,1/4,1/2,4000,41,0.058
2000,1/4,1/2,6000,41,0.065
2000,1/4,1/2,8000,41,0.082
2000,1/4,1/2,500,41,0.044
2000,1/4,1/2,666,41,0.048
2000,1/4,1/2,1000,41,0.052
2000,1/4,1/2,2000,41,0.059
2000,1/4,1/2,4000,41,0.064
2000,1/4,1/2,6000,41,0.065
2000,1/4,1/2,8000,41,0.071
2000,1/4,1/2,500,41,0.047
2000,1/4,1/2,666,41,0.04
2000,1/4,1/2,1000,41,0.074
2000,1/4,1/2,2000,41,0.062
2000,1/4,1/2,4000,41,0.076
2000,1/4,1/2,6000,41,0.083
2000,1/4,1/2,8000,41,0.069
2000,1/4,1/2,500,41,0.036
2000,1/4,1/2,666,41,0.037
2000,1/4,1/2,1000,41,0.055
2000,1/4,1/2,2000,41,0.058
2000,1/4,1/2,4000,41,0.064
2000,1/4,1/2,6000,41,0.057
2000,1/4,1/2,8000,41,0.07
2000,1/4,1/2,500,41,0.037
2000,1/4,1/2,666,41,0.049
2000,1/4,1/2,1000,41,0.062
2000,1/4,1/2,2000,41,0.067
2000,1/4,1/2,4000,41,0.074
2000,1/4,1/2,6000,41,0.06
2000,1/4,1/2,8000,41,0.056
2000,1/4,1/2,500,41,0.042
2000,1/4,1/2,666,41,0.035
2000,1/4,1/2,1000,41,0.056
2000,1/4,1/2,2000,41,0.054
2000,1/4,1/2,4000,41,0.072
2000,1/4,1/2,6000,41,0.067
2000,1/4,1/2,8000,41,0.068
2000,1/4,1/2,500,41,0.035
2000,1/4,1/2,666,41,0.045
2000,1/4,1/2,1000,41,0.037
2000,1/4,1/2,2000,41,0.064
2000,1/4,1/2,4000,41,0.06
2000,1/4,1/2,6000,41,0.069
2000,1/4,1/2,8000,41,0.064
2000,1/4,1/2,500,41,0.037
2000,1/4,1/2,666,41,0.041
2000,1/4,1/2,1000,41,0.06
2000,1/4,1/2,2000,41,0.063
2000,1/4,1/2,4000,41,0.074
2000,1/4,1/2,6000,41,0.084
2000,1/4,1/2,8000,41,0.073
2000,1/4,1/2,500,41,0.056
2000,1/4,1/2,666,41,0.038
2000,1/4,1/2,1000,41,0.064
2000,1/4,1/2,2000,41,0.061
2000,1/4,1/2,4000,41,0.081
2000,1/4,1/2,6000,41,0.066
2000,1/4,1/2,8000,41,0.071
2000,1/4,1/2,500,41,0.036
2000,1/4,1/2,666,41,0.041
2000,1/4,1/2,1000,41,0.042
2000,1/4,1/2,2000,41,0.078
2000,1/4,1/2,4000,41,0.079
2000,1/4,1/2,6000,41,0.068
2000,1/4,1/2,8000,41,0.071
2000,1/4,1/2,500,41,0.054
2000,1/4,1/2,666,41,0.04
2000,1/4,1/2,1000,41,0.032
2000,1/4,1/2,2000,41,0.06
2000,1/4,1/2,4000,41,0.068
2000,1/4,1/2,6000,41,0.079
2000,1/4,1/2,8000,41,0.058
2000,1/4,1/2,500,41,0.046
2000,1/4,1/2,666,41,0.053
2000,1/4,1/2,1000,41,0.057
2000,1/4,1/2,2000,41,0.059
2000,1/4,1/2,4000,41,0.069
2000,1/4,1/2,6000,41,0.068
2000,1/4,1/2,8000,41,0.055
2000,1/4,1/2,500,41,0.042
2000,1/4,1/2,666,41,0.05
2000,1/4,1/2,1000,41,0.053
2000,1/4,1/2,2000,41,0.063
2000,1/4,1/2,4000,41,0.074
2000,1/4,1/2,6000,41,0.077
2000,1/4,1/2,8000,41,0.071
2000,1/4,1/2,500,41,0.035
2000,1/4,1/2,666,41,0.048
2000,1/4,1/2,1000,41,0.047
